modélisation;adaptation;assumption-type;catastrophic-risk;paradigme;secteurs-marchands;dommage-niveau;dommage-forme;economic-school;methodes;regions-nombre;reference;money-type;technique;variable-climatique;economic-change-type;micro-innovation;equipe;uncertainty;calibration;macro-innovation;remarque;micro-foundations;verticalité;economic-theory;variable-affectée;monnaie;dommage;modules;licence;monney-type;created-at;updated-at;page;nom
Optimisation;;General equilibrium models;;;;;;;;;;;;;;;;;;;;;;General equilibrium models;;;;;;;23/02/2024 14:53;15/03/2024 16:07;MESSAGE;
;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Partial equilibrium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cost-optimisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Partial equilibrium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/02/2024 15:00;23/02/2024 15:00;PRIMES;
;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cost-optimisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/02/2024 15:12;29/02/2024 15:12;MIMOSA;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/02/2024 11:51;15/03/2024 16:06;WITCH;
simulation;;;;;;;;Post-Keynesian school;;;@Finance and Economic Breakdown: Modeling Minsky’s “Financial Instability Hypothesis”;;;;;;;;;;;;;;;;;;;;23/02/2024 14:23;23/02/2024 14:25;MINSKY;
simulation;;Agent-based;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/02/2024 15:01;23/02/2024 15:02;MATISSE;
;;, sectoral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/02/2024 15:05;29/02/2024 15:05;COACCH;
;;;Yes, explicit;;;;;;Spatial information, intersection;;;;;;;;;;;;;;;;;;;;;;28/02/2024 15:57;15/03/2024 15:52;EIRIN;
Optimisation;;Partial equilibrium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/02/2024 14:56;29/02/2024 11:04;TIMES;
;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cost-optimisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Optimal growth;;;;;;New Keynesian school;;;;;;;;;;;;;DG ECFIN l'utilise;yes, friction, imperfect competition, heterogeneity;;;;;;;;;23/02/2024 14:52;29/02/2024 11:43;QUEST;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/02/2024 15:39;28/02/2024 15:42;GEMMES;
simulation;;System dynamics;;;;;linear function of water level,;;;;;;cartography;;;;;;;;;;;Partial equilibrium;Consumption;;;;;;23/02/2024 15:00;18/03/2024 15:21;IMAGE;
;;, ;;;;;;;;;;;;;;;;;;;;;;;, ;;;;;;;;;
;;Discrete choice;;;;;;;;;;;;;;;;;;;;;;;Residual damage;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;, ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;GDP;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/02/2024 15:07;29/02/2024 15:07;ICES;
simulation;;Agent-based;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/02/2024 15:47;29/02/2024 16:44;DSK;
;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stock-flow consistent modelling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/02/2024 16:30;29/02/2024 11:46;ESTEEM;
Optimisation;;Computable general equilibrium;;;;;;Neoclassical school;;;@The IMACLIM-P Model Version 3.4;;;;;;;;;;;;;General equilibrium models;;;;;;;23/02/2024 12:01;23/02/2024 12:06;IMACLIM;
Optimisation;;;;;;;;Neoclassical school;;;@AIM/CGE [basic] manual;;;;;;;;;;;;;General equilibrium models;;;;;;;23/02/2024 13:33;15/03/2024 16:08;AIM;Asia-Pacific Integrated Modeling
;« Explicit: agriculture includes lagged rate component that fades with adaptation, SLR assumes cost-effective adaptation with sea-walls or retreat Implicit otherwise: calibrated to econometric studies of net response to warming » (Diaz et Moore, 2017, p. 776) (pdf);;« Potential for catastrophic outcome through tails of parameter distributions » (Diaz et Moore, 2017, p. 776) (pdf);;Sea-level rise (SLR);;;;;16;@FUND Technical Description;;;Global mean temperature change;;;;« Probabilistic design represents parametric uncertainty with thin-tailed (for example normal) distributions » (Diaz et Moore, 2017, p. 776) (pdf);« Calibrated to sector-specific impact studies, mostly published between 1992 and 1998 (ref. 2) » (Diaz et Moore, 2017, p. 776) (pdf);;;;;;;;;;;;22/02/2024 16:44;23/02/2024 17:35;FUND v.3.8;Climate Framework for Uncertainty, Negotiation and Distribution
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Agriculture;;;;;;;;;Regional mean temperature change;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Forests;;;;;;;;;Rate of warming;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Heating;;;;;;;;;CO2 concentrations;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Cooling;;;;;;;;;Global mean temperature change;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Water resources;;;;;;;;;Ocean temperature;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Tropical storm damages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Extratropical storm damages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Optimisation;« Explicit: agriculture includes lagged rate component that fades with adaptation, SLR assumes cost-effective adaptation with sea-walls or retreat Implicit otherwise: calibrated to econometric studies of net response to warming » (Diaz et Moore, 2017, p. 776) (pdf);Optimal growth;« Potential for catastrophic outcome through tails of parameter distributions » (Diaz et Moore, 2017, p. 776) (pdf);;Sea-level rise (SLR);;;;;16;@FUND Technical Description;;;Global mean temperature change;;;;« Probabilistic design represents parametric uncertainty with thin-tailed (for example normal) distributions » (Diaz et Moore, 2017, p. 776) (pdf);« Calibrated to sector-specific impact studies, mostly published between 1992 and 1998 (ref. 2) » (Diaz et Moore, 2017, p. 776) (pdf);;;;;;;;;;;;22/02/2024 17:20;19/03/2024 11:45;FUND;CLIMATE FRAMEWORK FOR UNCERTAINTY, NEGOTIATION AND DISTRIBUTION
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Agriculture;;;;;;;;;Regional mean temperature change;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Forests;;;;;;;;;Rate of warming;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Heating;;;;;;;;;CO2 concentrations;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Cooling;;;;;;;;;Global mean temperature change;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Water resources;;;;;;;;;Ocean temperature;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Tropical storm damages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Extratropical storm damages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;« calibrated to estimates of damages net of adaptation » (Diaz et Moore, 2017, p. 776) (pdf);;« Implicit: net damage includes the expected value of catastrophic loss per Nordhaus expert survey » (Diaz et Moore, 2017, p. 776) (pdf);;Sea-level rise (SLR);;Quadratic function of temperature;;;1;;;;Global mean temperature change;;;;;« DICE2010 is loosely calibrated to the IPCC (ref. 64) and a metaanalysis of net damages for 1–3 °C (ref. 65) via RICE-2010 (ref. 13) » (Diaz et Moore, 2017, p. 776) (pdf);;;;;;;;;;;;22/02/2024 16:28;22/02/2024 16:33;DICE 2010;DICE 2010
;;;;;, ;;;;;;;;;, ;;;;;;;;;;;;;;;;;;;;
;;;;;Aggregate non-SLR;;;;;;;;;Global mean SLR;;;;;;;;;;;;;;;;;;;;
;;;;;;3° => -2%;Quadratic function of temperature;;;;;;;;;;William Nordhaus;;;;;;;;;;;;;;21/02/2024 14:10;15/03/2024 13:53;DICE-2013R;DICE-2013R
;;Macro-econometric;;;;;;Post-Keynesian school;;;@A stock-flow-fund ecological macroeconomic model;;;;;;Richard Tol;;;;;;;;;;;;;;23/02/2024 14:26;28/02/2024 17:50;DEFINE;Dynamic Ecosystem-FINance-Economy
